query,state,url
immigrants,AK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AK&q=immigrants&hl=en
immigrants,AL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AL&q=immigrants&hl=en
immigrants,AR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AR&q=immigrants&hl=en
immigrants,AZ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AZ&q=immigrants&hl=en
immigrants,CA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CA&q=immigrants&hl=en
immigrants,CO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CO&q=immigrants&hl=en
immigrants,CT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CT&q=immigrants&hl=en
immigrants,DC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DC&q=immigrants&hl=en
immigrants,DE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DE&q=immigrants&hl=en
immigrants,FL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-FL&q=immigrants&hl=en
immigrants,GA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-GA&q=immigrants&hl=en
immigrants,HI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-HI&q=immigrants&hl=en
immigrants,IA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IA&q=immigrants&hl=en
immigrants,ID,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ID&q=immigrants&hl=en
immigrants,IL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IL&q=immigrants&hl=en
immigrants,IN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IN&q=immigrants&hl=en
immigrants,KS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KS&q=immigrants&hl=en
immigrants,KY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KY&q=immigrants&hl=en
immigrants,LA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-LA&q=immigrants&hl=en
immigrants,MA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MA&q=immigrants&hl=en
immigrants,MD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MD&q=immigrants&hl=en
immigrants,ME,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ME&q=immigrants&hl=en
immigrants,MI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MI&q=immigrants&hl=en
immigrants,MN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MN&q=immigrants&hl=en
immigrants,MO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MO&q=immigrants&hl=en
immigrants,MS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MS&q=immigrants&hl=en
immigrants,MT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MT&q=immigrants&hl=en
immigrants,NC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NC&q=immigrants&hl=en
immigrants,ND,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ND&q=immigrants&hl=en
immigrants,NE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NE&q=immigrants&hl=en
immigrants,NH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NH&q=immigrants&hl=en
immigrants,NJ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NJ&q=immigrants&hl=en
immigrants,NM,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NM&q=immigrants&hl=en
immigrants,NV,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NV&q=immigrants&hl=en
immigrants,NY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NY&q=immigrants&hl=en
immigrants,OH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OH&q=immigrants&hl=en
immigrants,OK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OK&q=immigrants&hl=en
immigrants,OR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OR&q=immigrants&hl=en
immigrants,PA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-PA&q=immigrants&hl=en
immigrants,RI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-RI&q=immigrants&hl=en
immigrants,SC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SC&q=immigrants&hl=en
immigrants,SD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SD&q=immigrants&hl=en
immigrants,TN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-TN&q=immigrants&hl=en
immigrants,TX,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-TX&q=immigrants&hl=en
immigrants,UT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-UT&q=immigrants&hl=en
immigrants,VA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-VA&q=immigrants&hl=en
immigrants,VT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-VT&q=immigrants&hl=en
immigrants,WA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WA&q=immigrants&hl=en
immigrants,WI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WI&q=immigrants&hl=en
immigrants,WV,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WV&q=immigrants&hl=en
immigrants,WY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WY&q=immigrants&hl=en
gun control,AK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AK&q=gun%20control&hl=en
gun control,AL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AL&q=gun%20control&hl=en
gun control,AR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AR&q=gun%20control&hl=en
gun control,AZ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-AZ&q=gun%20control&hl=en
gun control,CA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CA&q=gun%20control&hl=en
gun control,CO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CO&q=gun%20control&hl=en
gun control,CT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-CT&q=gun%20control&hl=en
gun control,DC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DC&q=gun%20control&hl=en
gun control,DE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-DE&q=gun%20control&hl=en
gun control,FL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-FL&q=gun%20control&hl=en
gun control,GA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-GA&q=gun%20control&hl=en
gun control,HI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-HI&q=gun%20control&hl=en
gun control,IA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IA&q=gun%20control&hl=en
gun control,ID,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ID&q=gun%20control&hl=en
gun control,IL,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IL&q=gun%20control&hl=en
gun control,IN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-IN&q=gun%20control&hl=en
gun control,KS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KS&q=gun%20control&hl=en
gun control,KY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-KY&q=gun%20control&hl=en
gun control,LA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-LA&q=gun%20control&hl=en
gun control,MA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MA&q=gun%20control&hl=en
gun control,MD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MD&q=gun%20control&hl=en
gun control,ME,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ME&q=gun%20control&hl=en
gun control,MI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MI&q=gun%20control&hl=en
gun control,MN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MN&q=gun%20control&hl=en
gun control,MO,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MO&q=gun%20control&hl=en
gun control,MS,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MS&q=gun%20control&hl=en
gun control,MT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-MT&q=gun%20control&hl=en
gun control,NC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NC&q=gun%20control&hl=en
gun control,ND,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-ND&q=gun%20control&hl=en
gun control,NE,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NE&q=gun%20control&hl=en
gun control,NH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NH&q=gun%20control&hl=en
gun control,NJ,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NJ&q=gun%20control&hl=en
gun control,NM,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NM&q=gun%20control&hl=en
gun control,NV,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NV&q=gun%20control&hl=en
gun control,NY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-NY&q=gun%20control&hl=en
gun control,OH,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OH&q=gun%20control&hl=en
gun control,OK,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OK&q=gun%20control&hl=en
gun control,OR,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-OR&q=gun%20control&hl=en
gun control,PA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-PA&q=gun%20control&hl=en
gun control,RI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-RI&q=gun%20control&hl=en
gun control,SC,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SC&q=gun%20control&hl=en
gun control,SD,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-SD&q=gun%20control&hl=en
gun control,TN,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-TN&q=gun%20control&hl=en
gun control,TX,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-TX&q=gun%20control&hl=en
gun control,UT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-UT&q=gun%20control&hl=en
gun control,VA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-VA&q=gun%20control&hl=en
gun control,VT,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-VT&q=gun%20control&hl=en
gun control,WA,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WA&q=gun%20control&hl=en
gun control,WI,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WI&q=gun%20control&hl=en
gun control,WV,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WV&q=gun%20control&hl=en
gun control,WY,https://trends.google.com/trends/explore?date=2015-01-01%202025-05-10&geo=US-WY&q=gun%20control&hl=en
